text,label,predicted_label
オペレーター: 例えば蟹ってお好きですか？ [SEP] カスタマー: エビも蟹も、はい。,0,1
オペレーター:はい。じゃ、こちら、なかむらさんは、じゃ、ちょっと外しておきますね、じゃあ。 [SEP] カスタマー:あ、はい、すいません。,1,0
オペレーター: かしこまりました、では何名様でのご旅行となりますか？ [SEP] カスタマー: あ、4名となります。,0,1
オペレーター:あ、なんかとんかつ専門店とかもありますね。 [SEP] カスタマー:あ、じゃあそっちでちょっと、はい。,1,0
オペレーター: ちょっとお店の写真はないのでなんとも言えないんですけど、まぁ七輪囲んでわいわい楽しめるなので、まもしかしたらみんなでこうカウンターで、まぁわいわいできる。 [SEP] カスタマー: なるほどなるほど、へー、その北えびすですか？ここはなんか特色みたいなのはあるんですか？,0,1
オペレーター:あ、そうなんですね。 [SEP] カスタマー:沖縄の、あ、はい。,1,0
オペレーター:あっ全身がいいです。 [SEP] カスタマー:あっ全身がいいです。,1,0
オペレーター: ちょっと、どんなのがいいですかね。 [SEP] カスタマー: なんか北海道らしいみたいなのってありました？,0,1
オペレーター:えっと、和風な感じと―、あの洋風な感じ、プールみたいなんもあるのと、どちらがよろしいですかねー。 [SEP] カスタマー:和風な感じがいいです。,1,0
オペレーター: はい、では、お客様そろそろお腹が空いてくるお時間かと思うんですけれども、ええ、お食事の方いかがいたしましょうか？ [SEP] カスタマー: 食事ついてますか？,0,1
オペレーター: いえいえいえ。 [SEP] カスタマー: はい、えーっとそうですね、あ、お客様結構お酒とかも飲まれる感じ…ですかね？,0,1
オペレーター:そういった意味でー、結構観光では、魅力なん、だけ、ど、まあ特に特徴はない、っていう感じですのでー。スーッ、あのー。 [SEP] カスタマー:それでしたら、い、今～、さっきの方が良いですねー。,1,0
オペレーター:ではこちら平田観光と言いますので、こちらをリストに加えておきますね。 [SEP] カスタマー:はい。,1,0
オペレーター:ええ、ええ。ありがとうございます。そうしますとちょうどですね、長崎ちゃんぽんの店と、皿うどんの店。 [SEP] カスタマー:あ、両方がいいです。,1,0
オペレーター:はい、そちらもご案内いたしましょうか？ [SEP] カスタマー:あ、はい、お願いします。,1,0
